Clarity-Upscaler,Not Found,Not Found,Not Found,"--upscale_factor, --creativity, --clarity",,,,,Upscales images with high fidelity to the original image. This bot supports .jpg and .png images.
Imagen-3-Fast,Google,Not Found,Not Found,--aspect_ratio,,,,,"Google DeepMind's highest quality text-to-image model, capable of generating images with great detail, rich lighting, and few distracting artifacts — optimized for short, simple prompts."
Imagen-4,Google,Not Found,480,--aspect_ratio,,,,,"DeepMind's May 2025 text-to-image model with exceptional prompt adherence, capable of generating images with great detail, rich lighting, and few distracting artifacts. Serves the `imagen-4.0-ultra-generate-05-20` model from Google Vertex."
Imagen-4-Fast,Google,Not Found,480,--aspect_ratio,,,,,"DeepMind's June 2025 text-to-image model with exceptional prompt adherence, capable of generating images with great detail, rich lighting, and few distracting artifacts. Serves the `imagen-4.0-fast-generate-preview-06-06` model from Google Vertex."
Imagen-4-Ultra-Exp,Google,Not Found,480,--aspect_ratio,,,,,"DeepMind's May 2025 text-to-image model with exceptional prompt adherence, capable of generating images with great detail, rich lighting, and few distracting artifacts. Serves the `imagen-4.0-ultra-generate-exp-05-20` model from Google Vertex."
Luma-Photon,Luma,Not Found,Not Found,--aspect,,,,,"Luma Photon delivers industry-specific visual excellence, crafting images that align perfectly with professional standards - not just generic AI art. From marketing to creative design, each generation is purposefully tailored to your industry's unique requirements."
Luma-Photon-Flash,Luma,Not Found,Not Found,--aspect,,,,,"Luma Photon delivers industry-specific visual excellence, crafting images that align perfectly with professional standards - not just generic AI art. From marketing to creative design, each generation is purposefully tailored to your industry's unique requirements."
model_handle,provider,point_cost,context_window_tokens,flags,,,,,comments
Phoenix-1.0,Not Found,Not Found,1500,"--aspect, --enhance, --style",,,,,"High-fidelity image generation with strong prompt adherence, especially for long and detailed instructions. Phoenix is capable of rendering coherent text in a wide variety of contexts."
Qwen-Edit,,,,,,,,,"Image editing model based on Qwen-Image, with superior text editing capabilities."
Qwen-Image,Alibaba,Not Found,Not Found,None,,,,,"Qwen-Image, an image generation foundation model in the Qwen series that achieves significant advances in complex text rendering and precise image editing. Experiments show strong general capabilities in both image generation and editing, with exceptional performance in text rendering, especially for Chinese."
Qwen-Image-20B,Alibaba,Not Found,Not Found,"--aspect, --negative_prompt",,,,,Qwen-Image (20B) is an image generation foundation model in the Qwen series that achieves significant advances in complex text rendering.
Recraft-V3,Recraft,Not Found,Not Found,"--style, --aspect",,,,,Recraft V3 state of the art image generation.
remove-background,Not Found,Not Found,Not Found,None,,,,,Remove background from your images
Retro-Diffusion-Core,Not Found,Not Found,Not Found,"--ar, --style, --seed, --tile, --tilex, --tiley, --native, --removebg, --iw",,,,,"Generate true game ready pixel art in seconds at any resolution between 16x16 and 512x512 across the various styles. Create 48x48 walking animations of sprites using the ""animation_four_angle_walking"" style!"
Sana-T2I,Sana,Not Found,Not Found,None,,,,,"SANA can synthesize high-resolution, high-quality images at a remarkably fast rate, with the ability to generate 4K images in less than a second."
Seedream-3.0,ByteDance,Not Found,Not Found,None,,,,,Seedream 3.0 by ByteDance is a bilingual (Chinese and English) text-to-image model that excels at text-to-image generation.
StableDiffusion3.5-L,Stability.ai,Not Found,Not Found,--aspect,,,,,"Stability.ai's StableDiffusion3.5 Large, hosted by @fal, is the Stable Diffusion family's most powerful image generation model both in terms of image quality and prompt adherence."
StableDiffusion3.5-T,Stability.ai,Not Found,Not Found,--aspect,,,,,"Faster version of Stable Diffusion 3 Large, hosted by @fal. Excels for fast image generation."
StableDiffusionXL,Stability.ai,Not Found,Not Found,"--no, --aspect",,,,,Generates high quality images based on the user's most recent prompt. Allows users to specify elements to avoid in the image. Powered by Stable Diffusion XL.
TopazLabs,Topaz Labs,Not Found,Not Found,"--upscale, --output_height, --output_width, --generated",,,,,Topaz Labs’ image upscaler is a best-in-class generative AI model to increase overall clarity and the pixel amount of inputted photos — whether they be ones generated by AI image models and from the real world — while preserving the original photo’s contents.
Trellis-3D,Not Found,Not Found,Not Found,None,,,,,"Generate 3D models from your images using Trellis, a native 3D generative model enabling versatile and high-quality 3D asset creation. Send an image to convert it into a 3D model."
